sample	animal	animal.1	geno	perc.meth
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	16
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	38.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	34.6
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	12.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	38.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	20
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	12
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	38.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	12
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	16
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	16
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	13
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	38.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	34.6
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	34.6
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	20
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	34.6
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	16
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	16
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
b.64.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
