sample	animal	animal.1	geno	perc.meth
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	3
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	14.7
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	3
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	20.6
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	3
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	47.1
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	11.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	6.1
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	47.1
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	20.6
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	8.8
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	14.7
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	6.1
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	20.6
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	5.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	20.6
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
b.64.pax5.1_um	ctrl.1	ctrl.1	+/+	0
